#prot	pigment	nuc	lipid	PARAM (output val)
PinPOR 	P 	NH 	NoLi	2,4578
PinPOR 	P 	NH 	NoLi	2,09622
PinPOR 	P 	NH 	NoLi	2,28866
PinPOR 	P 	NH 	NoLi	2,07229
PinPOR 	P 	NH 	OPT	3,67511
PinPOR 	P 	NH 	OPT	2,68392
				
				
				
				
PinPOR 	C 	NH 	NoLi	2,545506958
PinPOR 	C 	NH 	NoLi	2,627062102
PinPOR 	C 	NH 	PG	3,767878001
PinPOR 	C 	NH 	PG	2,784577197
PinPOR 	C 	NH 	OPT	3,669693577
PinPOR 	C 	NH 	OPT	3,705735096
PinPOR 	C 	N+ 	NoLi	2,434614608
PinPOR 	C 	N+ 	NoLi	2,536118483
PinPOR 	C 	N+ 	PG	3,618976973
PinPOR 	C 	N+ 	PG	3,661019186
PinPOR 	C 	N+ 	OPT	3,354658731
PinPOR 	C 	N+ 	OPT	2,640108206
PinPOR 	P 	NH 	NoLi	2,4578
PinPOR 	P 	NH 	NoLi	2,09622
PinPOR 	P 	NH 	NoLi	2,28866
PinPOR 	P 	NH 	NoLi	2,07229
				
HA2 	P 	NH 	NoLi	1,8019
HA2 	P 	NH 	NoLi	2,63653
HA2 	P 	NH 	NoLi	2,1293
HA2 	P 	NH 	NoLi	1,97197
HA2 	P 	NH 	NoLi	1,90349
HA2 	P 	NH 	NoLi	1,99605
HA2 	P 	NH 	NoLi	1,58185
HA2 	P 	NH 	NoLi	1,33483
HA2 	P 	NH 	NoLi	3,00471
HA2 	P 	NH 	NoLi	3,14999
HA2 	P 	NH 	NoLi	2,8744
HA2 	P 	NH 	NoLi	2,71513
HA2 	P 	NH 	PG	1,42198
HA2 	P 	NH 	PG	1,42544
HA2 	P 	NH 	OPT	3,25267
HA2 	P 	NH 	OPT	2,62648
HA2 	P 	NH 	OPT	4,26949
HA2 	P 	NH 	OPT	5,30328
HA2 	P 	NH 	OPT	4,28184
HA2 	P 	NH 	OPT	4,01609
HA2 	P 	N+ 	NoLi	0,23127
HA2 	P 	N+ 	NoLi	0,24394
HA2 	P 	N+ 	PG	0,25255
HA2 	P 	N+ 	PG	0,22831
HA2 	P 	N+ 	OPT	0,81908
HA2 	P 	N+ 	OPT	0,61721
HA2 	C 	NH 	NoLi	2,402559831
HA2 	C 	NH 	NoLi	2,679302243
HA2 	C 	NH 	PG	3,95153906
HA2 	C 	NH 	PG	4,204312547
HA2 	C 	NH 	OPT	3,18739589
HA2 	C 	NH 	OPT	3,327528595
HA2 	C 	N+ 	NoLi	2,1952749
HA2 	C 	N+ 	NoLi	2,266228115
HA2 	C 	N+ 	PG	4,027475149
HA2 	C 	N+ 	PG	4,198802921
HA2 	C 	N+ 	OPT	3,214155502
HA2 	C 	N+ 	OPT	2,718940024
HA2 	P 	NH 	NoLi	1,8019
HA2 	P 	NH 	NoLi	2,63653
HA2 	P 	NH 	NoLi	2,1293
HA2 	P 	NH 	NoLi	1,97197
HA2 	P 	NH 	NoLi	1,90349
HA2 	P 	NH 	NoLi	1,99605
HA2 	P 	NH 	NoLi	1,58185
HA2 	P 	NH 	NoLi	1,33483
HA2 	P 	NH 	NoLi	3,00471
HA2 	P 	NH 	NoLi	3,14999
HA2 	P 	NH 	NoLi	2,8744
HA2 	P 	NH 	NoLi	2,71513
				
SlPOR1 	P 	NH 	NoLi	1,47125
SlPOR1 	P 	NH 	NoLi	1,42524
SlPOR1 	P 	NH 	NoLi	3,04904
SlPOR1 	P 	NH 	NoLi	2,52771
SlPOR1 	P 	NH 	NoLi	2,97582
SlPOR1 	P 	NH 	NoLi	1,94369
SlPOR1 	P 	NH 	PG	1,1711
SlPOR1 	P 	NH 	OPT	3,19027
SlPOR1 	P 	NH 	OPT	3,22629
